PlateThickness,InitialTemperature,HeatInput,ElectrodeVelocity,X,Y,Z,Max Temperature
0.003,180,1200,0.0035,0.0,0.025,0.0015,1010.968447
0.003,240,900,0.003,0.05,0.04,0.0015,549.558617
0.004,200,1200,0.004,0.05,0.04,0.002,552.889769
0.003,180,1200,0.003,0.025,0.025,0.0,1500.0
0.005,200,900,0.004,0.025,0.04,0.0,555.334036
0.004,240,900,0.0035,0.025,0.0,0.004,544.055029
0.004,200,1000,0.003,0.025,0.025,0.002,703.48048
0.003,240,1000,0.004,0.0,0.02,0.003,1456.094332
0.004,200,900,0.0035,0.0,0.04,0.002,587.6097
0.005,200,1200,0.003,0.0,0.015,0.0,724.997313
0.003,180,900,0.004,0.025,0.015,0.0,508.829459
0.004,180,900,0.004,0.025,0.04,0.002,545.480308
0.005,240,900,0.004,0.05,0.0,0.0,499.516492
0.005,240,1200,0.003,0.05,0.015,0.0,705.033754
0.003,200,900,0.004,0.025,0.0,0.0,510.995147
0.005,180,1000,0.003,0.0,0.025,0.005,701.276725
0.004,200,1200,0.004,0.05,0.025,0.0,623.212217
0.005,200,900,0.003,0.0,0.02,0.005,732.502249
0.005,200,1000,0.004,0.0,0.04,0.0,542.407737
0.005,200,1000,0.0035,0.025,0.015,0.0,789.313254
0.003,200,1000,0.003,0.025,0.025,0.0015,1500.0
0.003,180,900,0.004,0.05,0.0,0.0015,715.95465
0.003,200,1200,0.003,0.05,0.02,0.0,1349.765286
0.004,180,1200,0.003,0.0,0.04,0.0,557.01632
0.003,180,1000,0.004,0.0,0.02,0.003,593.363592
0.003,180,900,0.0035,0.025,0.02,0.0015,809.233631
0.005,180,900,0.0035,0.025,0.02,0.0,1418.966982
0.005,240,900,0.003,0.0,0.02,0.0,960.691187
0.003,240,1200,0.0035,0.025,0.02,0.0,1360.437223
0.003,180,900,0.0035,0.0,0.025,0.0,806.115713
0.005,200,1000,0.0035,0.05,0.04,0.0,560.454744
0.005,180,900,0.003,0.0,0.015,0.0025,687.624395
0.004,240,900,0.003,0.025,0.015,0.004,856.306886
0.005,200,900,0.004,0.05,0.0,0.0025,535.512861
0.005,180,1200,0.004,0.0,0.015,0.005,631.509089
0.004,240,900,0.004,0.025,0.04,0.004,513.764205
0.003,200,1200,0.004,0.025,0.04,0.0,552.474278
0.005,180,1200,0.003,0.0,0.025,0.005,742.161167
0.004,180,900,0.0035,0.025,0.04,0.0,593.670911
0.005,180,900,0.0035,0.05,0.015,0.0025,629.880368
0.004,180,1200,0.0035,0.0,0.025,0.0,962.534198
0.004,180,1200,0.003,0.05,0.0,0.0,622.52116
0.005,240,900,0.003,0.0,0.025,0.0,638.552043
0.005,200,900,0.004,0.025,0.04,0.005,555.334036
0.004,180,1000,0.003,0.0,0.04,0.002,552.397624
0.005,180,900,0.004,0.025,0.015,0.005,713.655264
0.003,200,900,0.003,0.025,0.025,0.0,884.34666
0.005,200,1000,0.004,0.05,0.025,0.0025,579.347533
0.005,240,900,0.0035,0.025,0.04,0.005,542.488623
0.004,180,1200,0.0035,0.0,0.0,0.002,619.97917
0.004,240,1000,0.004,0.05,0.015,0.0,563.384443
0.005,200,1000,0.004,0.025,0.02,0.0025,1015.557724
0.004,240,1200,0.004,0.0,0.02,0.004,750.466977
0.004,240,900,0.004,0.05,0.02,0.0,669.701522
0.003,240,900,0.0035,0.025,0.015,0.0,675.205421
0.005,240,900,0.004,0.0,0.015,0.005,533.030021
0.004,180,1000,0.0035,0.025,0.02,0.0,991.34206
0.005,200,900,0.0035,0.025,0.02,0.0025,1090.49308
0.005,180,1200,0.004,0.025,0.02,0.0025,1157.425183
0.005,180,1200,0.0035,0.05,0.0,0.0,609.119425
0.003,180,1000,0.003,0.05,0.015,0.0,586.346572
0.004,200,1200,0.004,0.025,0.0,0.0,563.505462
0.005,180,900,0.003,0.025,0.015,0.0,878.866303
0.005,200,1000,0.004,0.025,0.0,0.005,562.569251
0.003,180,1200,0.004,0.0,0.015,0.0015,530.506991
0.003,180,1000,0.003,0.025,0.015,0.003,577.060506
0.004,180,1200,0.004,0.0,0.015,0.004,878.893335
0.005,200,1200,0.0035,0.0,0.025,0.005,657.810886
0.004,240,900,0.003,0.025,0.02,0.002,1454.857942
0.005,180,900,0.0035,0.025,0.015,0.0,783.932805
0.003,240,1200,0.0035,0.05,0.0,0.0,543.688431
0.004,180,1000,0.003,0.0,0.015,0.002,736.964764
0.003,240,1200,0.004,0.05,0.02,0.0015,879.360323
0.005,200,900,0.0035,0.0,0.0,0.005,557.775947
0.005,180,900,0.003,0.05,0.02,0.0025,740.589939
0.005,240,900,0.004,0.0,0.02,0.0,704.077881
0.004,180,900,0.004,0.0,0.025,0.002,572.67232
0.003,240,900,0.0035,0.0,0.025,0.003,864.988016
0.005,240,1000,0.004,0.025,0.04,0.0,525.863028
0.003,240,1000,0.0035,0.0,0.0,0.0,565.399106
0.003,200,1200,0.0035,0.05,0.02,0.003,1031.932521
0.005,200,900,0.003,0.0,0.02,0.0025,735.283688
0.004,240,1200,0.004,0.025,0.025,0.0,772.249021
0.003,180,1200,0.003,0.0,0.025,0.0,1331.81454
0.005,180,1000,0.004,0.025,0.02,0.0025,1040.045907
0.004,200,1000,0.0035,0.0,0.015,0.0,702.18662
0.005,180,1000,0.0035,0.025,0.02,0.0,1500.0
0.003,180,1000,0.004,0.05,0.0,0.0015,536.450667
0.003,180,1000,0.004,0.05,0.015,0.0,519.399891
0.003,240,900,0.003,0.0,0.0,0.0,543.13917
0.004,200,1000,0.004,0.05,0.015,0.004,744.37641
0.003,200,900,0.003,0.0,0.04,0.003,565.265454
0.004,240,1200,0.004,0.025,0.015,0.004,772.282661
0.004,180,1200,0.004,0.05,0.0,0.004,570.76208
0.004,240,1000,0.004,0.0,0.0,0.002,510.678599
0.005,240,1000,0.004,0.0,0.015,0.0025,550.356885
0.005,200,900,0.003,0.025,0.04,0.005,602.709454
0.003,180,1200,0.003,0.025,0.015,0.0015,601.676468
0.005,200,1000,0.0035,0.0,0.015,0.0025,624.253957
0.003,240,900,0.004,0.0,0.02,0.0,1432.282629
0.004,180,1000,0.004,0.0,0.025,0.002,1401.949993
0.005,180,1200,0.004,0.05,0.0,0.0,579.890981
0.004,200,900,0.0035,0.025,0.04,0.004,555.038295
0.005,180,1200,0.003,0.025,0.04,0.0025,649.49116
0.005,180,1200,0.004,0.0,0.0,0.0025,579.890981
0.004,200,900,0.0035,0.05,0.025,0.004,783.194564
0.004,180,900,0.0035,0.05,0.04,0.004,573.932358
0.004,200,1200,0.004,0.025,0.025,0.002,796.396162
0.003,240,900,0.0035,0.0,0.015,0.003,868.239961
0.005,240,900,0.0035,0.0,0.0,0.005,528.879697
0.004,180,1000,0.004,0.05,0.0,0.0,550.062095
0.005,200,1200,0.0035,0.0,0.02,0.0,964.406533
0.005,240,900,0.004,0.05,0.025,0.0025,527.103678
0.004,180,900,0.004,0.025,0.0,0.002,642.51179
0.005,180,1200,0.0035,0.0,0.02,0.0,943.599001
0.003,240,1200,0.0035,0.05,0.0,0.0015,543.688431
0.005,240,1200,0.004,0.025,0.0,0.0,545.155752
0.004,240,1000,0.003,0.025,0.025,0.002,885.069596
0.004,240,1000,0.0035,0.0,0.015,0.002,622.589961
0.003,200,1000,0.004,0.0,0.025,0.0,507.272843
0.005,180,1000,0.0035,0.0,0.0,0.0025,587.179524
0.004,180,900,0.003,0.0,0.0,0.0,522.349746
0.003,200,900,0.004,0.025,0.015,0.003,708.476831
0.004,200,1000,0.003,0.05,0.0,0.002,596.07012
0.004,180,1200,0.004,0.05,0.0,0.002,571.067592
0.004,180,1200,0.004,0.05,0.015,0.002,812.675767
0.003,180,1000,0.003,0.05,0.025,0.0,715.367445
0.003,200,1200,0.004,0.05,0.015,0.0,621.889033
0.003,240,900,0.0035,0.0,0.02,0.0015,1500.0
0.004,200,1200,0.003,0.025,0.04,0.0,607.230609
0.005,240,1200,0.003,0.0,0.015,0.0,704.484357
0.005,180,1200,0.004,0.025,0.02,0.005,1087.235338
0.005,200,1000,0.003,0.0,0.02,0.005,768.692969
0.004,200,1000,0.003,0.05,0.025,0.002,901.831694
0.003,180,900,0.003,0.025,0.015,0.003,896.144238
0.004,200,1200,0.004,0.025,0.015,0.002,799.153292
0.003,180,1200,0.004,0.025,0.0,0.0,531.128481
0.003,180,1000,0.0035,0.025,0.04,0.0,837.830164
0.005,240,1000,0.0035,0.025,0.025,0.0025,739.727658
0.005,180,1200,0.003,0.05,0.04,0.0,640.535535
0.005,240,1200,0.004,0.025,0.04,0.005,544.335469
0.003,200,1000,0.004,0.05,0.04,0.0,523.027068
0.004,240,1200,0.004,0.0,0.025,0.004,600.918818
0.003,200,1000,0.0035,0.0,0.025,0.0,541.294079
0.004,240,1200,0.004,0.025,0.02,0.002,1328.913115
0.003,200,1200,0.003,0.025,0.025,0.0,570.877244
0.004,200,1200,0.003,0.0,0.0,0.0,607.031403
0.003,240,900,0.0035,0.05,0.04,0.003,507.916848
0.005,200,1000,0.0035,0.05,0.0,0.0,559.78395
0.003,200,900,0.0035,0.025,0.02,0.003,1378.624377
0.003,200,1200,0.0035,0.05,0.025,0.0015,673.985659
0.004,180,900,0.004,0.025,0.04,0.0,545.20495
0.003,240,1000,0.003,0.0,0.0,0.0,487.434894
0.004,200,1000,0.003,0.0,0.02,0.002,596.991277
0.005,180,900,0.0035,0.025,0.02,0.005,1052.864237
0.005,200,1200,0.003,0.025,0.04,0.0025,631.634166
0.005,180,1200,0.003,0.0,0.02,0.0025,889.49324
0.004,200,1200,0.003,0.05,0.025,0.002,739.027165
0.003,180,900,0.0035,0.0,0.04,0.003,620.531701
0.004,180,1200,0.0035,0.0,0.015,0.004,952.163966
0.004,200,1200,0.004,0.0,0.015,0.004,623.92191
0.005,180,1000,0.0035,0.025,0.0,0.005,609.290873
0.003,240,1000,0.004,0.0,0.04,0.0015,533.0633
0.004,180,1000,0.0035,0.0,0.0,0.002,607.989443
0.005,240,1000,0.004,0.0,0.0,0.0025,510.243322
0.004,240,1200,0.003,0.05,0.025,0.002,726.083681
0.004,200,900,0.003,0.025,0.0,0.002,587.239262
0.003,200,1000,0.0035,0.025,0.0,0.0,911.26399
0.004,180,1000,0.004,0.0,0.025,0.0,1500.0
0.004,200,900,0.0035,0.0,0.015,0.0,915.038575
0.005,180,900,0.003,0.05,0.015,0.0,687.651339
0.003,200,900,0.004,0.05,0.04,0.0,549.621575
0.004,200,900,0.0035,0.025,0.015,0.004,625.161149
0.005,240,1200,0.003,0.025,0.025,0.0025,873.30768
0.004,200,900,0.0035,0.025,0.0,0.004,554.40346
0.004,180,900,0.0035,0.025,0.0,0.0,592.963
0.004,180,900,0.004,0.0,0.04,0.002,566.413199
0.005,180,1000,0.004,0.0,0.025,0.005,595.918941
0.004,200,1200,0.004,0.0,0.04,0.004,552.889769
0.004,180,900,0.0035,0.05,0.025,0.004,641.444478
0.004,240,1200,0.0035,0.025,0.02,0.004,1407.059433
0.004,180,1000,0.0035,0.0,0.0,0.004,607.634267
0.005,180,900,0.003,0.0,0.025,0.005,685.173364
0.003,180,1000,0.004,0.025,0.025,0.0015,1284.005054
0.003,200,900,0.003,0.0,0.0,0.003,564.614008
0.005,240,900,0.004,0.0,0.0,0.005,499.242257
0.003,240,900,0.003,0.0,0.04,0.0,541.975087
0.005,180,1200,0.003,0.05,0.025,0.0,743.115227
0.003,180,1200,0.004,0.025,0.02,0.0015,1456.733797
0.004,180,1000,0.004,0.05,0.025,0.0,610.739761
0.003,240,1000,0.004,0.0,0.015,0.0015,809.533855
0.005,200,1200,0.0035,0.0,0.02,0.005,722.695583
0.004,200,1200,0.004,0.0,0.0,0.0,552.253986
0.005,180,1000,0.003,0.025,0.015,0.0,910.16229
0.003,240,1000,0.003,0.05,0.04,0.003,561.091381
0.003,240,1200,0.003,0.05,0.02,0.003,1329.646403
0.005,180,1000,0.0035,0.05,0.02,0.0025,685.514868
0.004,180,1200,0.0035,0.05,0.04,0.0,592.287597
0.003,180,1200,0.0035,0.05,0.0,0.003,575.396718
0.004,200,900,0.0035,0.025,0.02,0.002,701.971869
0.003,240,900,0.004,0.0,0.02,0.003,1351.295546
0.003,240,1200,0.0035,0.025,0.04,0.0,575.440513
0.004,180,1000,0.004,0.0,0.015,0.0,579.065866
0.005,240,900,0.0035,0.025,0.0,0.005,543.324736
0.003,200,1000,0.004,0.05,0.025,0.0015,507.835552
0.004,180,1000,0.003,0.025,0.0,0.0,545.480308
0.005,200,1200,0.004,0.0,0.025,0.0025,601.729686
0.004,240,1000,0.003,0.0,0.02,0.002,993.576192
0.005,180,1000,0.0035,0.0,0.0,0.005,586.788134
0.003,180,1200,0.0035,0.0,0.015,0.0,563.87293
0.005,180,900,0.004,0.05,0.02,0.0,610.361317
0.003,240,1200,0.004,0.025,0.04,0.0,544.478742
0.004,200,1200,0.004,0.05,0.015,0.002,623.92191
0.005,240,1000,0.004,0.0,0.025,0.0025,543.46342
0.004,240,900,0.004,0.0,0.015,0.0,542.664625
0.004,200,1000,0.004,0.0,0.02,0.0,809.916998
0.005,200,1000,0.0035,0.025,0.025,0.005,767.889337
0.004,200,1200,0.0035,0.0,0.04,0.004,574.577839
0.005,200,1000,0.0035,0.0,0.0,0.005,559.433835
0.005,180,900,0.004,0.0,0.025,0.0,586.756878
0.003,240,900,0.003,0.05,0.0,0.003,548.93777
0.004,180,900,0.004,0.025,0.025,0.002,567.067573
0.003,240,900,0.0035,0.0,0.025,0.0,866.121079
0.004,180,900,0.0035,0.025,0.015,0.002,695.52198
0.004,240,1000,0.004,0.025,0.02,0.004,1104.510418
0.005,240,1000,0.003,0.025,0.04,0.0,586.867729
0.005,240,900,0.0035,0.025,0.015,0.0,730.518514
0.005,180,1200,0.003,0.025,0.015,0.005,930.693889
0.004,200,1000,0.003,0.0,0.025,0.002,573.719713
0.005,240,1200,0.003,0.025,0.015,0.0025,876.802853
0.004,180,1200,0.0035,0.025,0.02,0.002,1056.229719
0.003,240,1200,0.0035,0.0,0.02,0.003,1500.0
0.005,240,1000,0.004,0.025,0.0,0.0,526.48161
0.005,200,1000,0.0035,0.025,0.0,0.0025,582.384926
0.004,180,1200,0.0035,0.05,0.0,0.002,591.921055
0.005,180,1000,0.003,0.025,0.04,0.0025,636.216904
0.003,180,900,0.0035,0.05,0.0,0.0015,553.711115
0.004,240,1000,0.004,0.025,0.0,0.002,525.488307
0.003,180,900,0.003,0.05,0.015,0.0,565.872923
0.004,180,1200,0.004,0.025,0.025,0.002,633.361772
0.005,200,1200,0.003,0.0,0.025,0.0,723.545698
0.005,200,1000,0.003,0.0,0.0,0.0025,599.568429
0.005,240,1200,0.003,0.0,0.0,0.0025,595.886453
0.004,240,1000,0.004,0.05,0.025,0.002,561.812788
0.003,240,1000,0.004,0.05,0.0,0.0,484.349749
0.003,240,900,0.003,0.05,0.015,0.003,674.892832
0.003,200,1000,0.003,0.025,0.04,0.003,906.633815
0.003,240,900,0.004,0.05,0.04,0.0,471.640517
0.004,200,900,0.0035,0.025,0.025,0.0,623.932567
0.003,200,1000,0.003,0.025,0.025,0.003,1500.0
0.004,200,900,0.0035,0.05,0.025,0.002,785.000813
0.004,200,900,0.003,0.025,0.015,0.004,686.525352
0.004,180,900,0.003,0.0,0.025,0.002,775.389651
0.004,200,1200,0.004,0.05,0.02,0.0,781.911287
0.003,200,900,0.0035,0.0,0.015,0.0,619.329531
0.003,180,1200,0.004,0.0,0.015,0.003,530.506991
0.004,180,1200,0.004,0.05,0.02,0.0,1500.0
0.005,180,1000,0.0035,0.025,0.04,0.0,608.915897
0.005,200,900,0.004,0.0,0.015,0.0025,575.906589
0.003,180,1200,0.0035,0.025,0.02,0.0015,887.507928
0.005,180,1000,0.0035,0.05,0.0,0.0,587.179524
0.004,200,1000,0.003,0.0,0.02,0.0,651.185265
0.003,180,900,0.0035,0.025,0.0,0.003,539.620572
0.004,200,900,0.003,0.025,0.025,0.002,685.912747
0.005,240,1200,0.0035,0.05,0.0,0.0,561.786977
0.004,180,1200,0.004,0.05,0.015,0.004,810.508697
0.005,240,1000,0.0035,0.0,0.015,0.005,603.063991
0.005,180,900,0.0035,0.025,0.015,0.0025,771.732477
0.005,200,1200,0.004,0.05,0.015,0.0,605.899037
0.004,180,1200,0.003,0.05,0.025,0.004,761.701848
0.005,180,1000,0.004,0.0,0.04,0.0025,553.587026
0.004,240,1200,0.0035,0.025,0.02,0.002,1474.719225
0.005,200,1200,0.003,0.05,0.0,0.0,622.560645
0.005,180,1200,0.003,0.0,0.0,0.0,639.216449
0.004,200,1000,0.003,0.0,0.0,0.0,526.318617
0.005,200,1000,0.004,0.025,0.025,0.0025,709.286612
0.003,240,900,0.004,0.0,0.04,0.0015,519.928119
0.005,200,1000,0.004,0.025,0.025,0.005,707.595572
0.004,240,1200,0.004,0.0,0.0,0.0,532.880855
0.005,200,1200,0.003,0.05,0.04,0.0,623.348407
0.005,180,1200,0.0035,0.0,0.0,0.0025,609.119425
0.004,200,900,0.0035,0.05,0.015,0.004,785.130735
0.005,200,1200,0.0035,0.025,0.04,0.0025,604.437367
